Special Problems,CSC 400,1-4 units,Graded,"F, W, SP",Consent of instructor
Software Requirements Engineering,CSC 402,4 units,Graded,F,CSC 307 or CSC 309
Software Construction,CSC 405,4 units,Graded,W,CSC 305 and CSC 402
Senior Project - Software Deployment,CSC 406,4 units,Graded,SP,CSC 405
Current Topics in Software Engineering,CSC 409,4 units,Graded,TBD,CSC 307 or CSC 309
Software Evaluation,CSC 410,4 units,Graded,TBD,"CSC 349; STAT 301, STAT 312, STAT 321 or STAT 350"
Network and Web Security,CSC 422,4 units,Graded,W,CPE 464
Software Security,CSC 424,4 units,Graded,W,CPE/CSC 307 or CPE/CSC 309; CPE/CSC 321
Current Topics in Computer Security,CSC 429,4 units,Graded,TBD,CPE/CSC 321 and CPE/CSC 357
Programming Languages,CSC 430,4 units,Graded,"F, W, SP",CSC 349 and CSC/CPE 357
Compiler Construction,CSC 431,4 units,Graded,SP,CSC 430
Introduction to Object Oriented Design Using Graphical User Interfaces,CSC 435,4 units,Graded,TBD,CSC 305
Mobile Application Development,CSC 436,4 units,Graded,"F, W, SP",CSC/CPE 357
Dynamic Web Development,CSC 437,4 units,Graded,SP,CPE/CSC 357 with a grade of C- or better and CSC 365 with a grade of C- or better; or consent of instructor
Theory of Computation I,CSC 445,4 units,Graded,"F, W, SP",CSC 141 or CSC 348
Bioinformatics Algorithms,CSC 448,4 units,Graded,F,CSC 349
Computing for Interactive Arts Capstone II,CSC 450,2 units,Graded,TBD,ART/CSC 350
Introduction to Operating Systems,CSC 453,4 units,Graded,"F, W, SP","CSC/CPE 357, and CSC/CPE 225 or CPE/EE 229 or CPE/EE 233"
Implementation of Operating Systems,CSC 454,4 units,Graded,TBD,CSC/CPE 453
Current Topics in Computer Systems,CSC 458,4 units,Graded,TBD,CSC/CPE 357
Knowledge Discovery from Data,CSC 466,4 units,Graded,"F, SP","CSC 349 and one of the following: STAT 302, STAT 312, STAT 321 or STAT 350"
Database Management Systems Implementation,CSC 468,4 units,Graded,SP,CSC 365
Distributed Systems,CSC 469,4 units,Graded,TBD,CSC/CPE 357
Introduction to Computer Graphics,CSC 471,4 units,Graded,TBD,CPE/CSC 357
Advanced Rendering Techniques,CSC 473,4 units,Graded,TBD,CSC/CPE 471
Computer Animation,CSC 474,4 units,Graded,SP,CSC/CPE 471
Real-Time 3D Computer Graphics Software,CSC 476,4 units,Graded,SP,CSC/CPE 471
Scientific and Information Visualization,CSC 477,4 units,Graded,F,CSC 349
Current Topics in Computer Graphics,CSC 478,4 units,Graded,TBD,CSC/CPE 471
Artificial Intelligence,CSC 480,4 units,Graded,"F, SP",either CSC/CPE 102 and CSC/CPE 103 with a grade of C- or better or consent of instructor; or CSC/CPE 202 with a grade of C- or better and junior standing
Knowledge Based Systems,CSC 481,4 units,Graded,SP,CSC 480
Speech and Language Processing,CSC 482,4 units,Graded,"F, W",CSC 466 or CSC 480 or graduate standing
Current Topics in Human-Computer Interaction,CSC 483,4 units,Graded,TBD,CSC 484
User-Centered Interface Design and Development,CSC 484,4 units,Graded,"F, W, SP",CSC 307 or CSC 308; junior standing
Human-Computer Interaction Theory and Design,CSC 486,4 units,Graded,SP,CSC 484
Deep Learning,CSC 487,4 units,Graded,F,"CSC 349, and MATH 206 or MATH 244"
Current Topics in Artificial Intelligence,CSC 489,4 units,Graded,SP,CSC 480
Selected Advanced Topics,CSC 490,1-4 units,Graded,SP,Consent of instructor
Senior Project I,CSC 491,2 units,Graded,"F, W, SP",CSC 307 or CSC 309; and consent of instructor
Senior Project II,CSC 492,2 units,Graded,"F, W, SP",CSC 491 and consent of instructor
Cooperative Education Experience,CSC 493,2 units,CR/NC,"F, W, SP",Sophomore standing and consent of instructor
Cooperative Education Experience,CSC 494,6 units,CR/NC,"F, W, SP",Sophomore standing and consent of instructor
Cooperative Education Experience,CSC 495,12 units,CR/NC,"F, W, SP",Sophomore standing and consent of instructor
Selected Advanced Laboratory,CSC 496,1-4 units,Graded,SP,Consent of instructor
Research Senior Project I,CSC 497,2 units,Graded,"F, W, SP",CSC 307 or CSC 309; and consent of instructor
Research Senior Project II,CSC 498,2 units,Graded,"F, W, SP",CSC 497 and consent of instructor
Directed Study,CSC 500,1-4 units,CR/NC,"F, W, SP",Fully classified graduate standing and consent of instructor
Software Engineering I,CSC 508,4 units,Graded,TBD,"CSC 307 or CSC 308 and graduate standing, or consent of instructor"
Software Engineering II,CSC 509,4 units,Graded,SP,"CSC 508 and graduate standing, or consent of instructor"
Computer Architecture,CSC 515,4 units,Graded,F,"CPE 315 or CPE 333, and graduate standing; or consent of instructor"
Computer Security,CSC 521,4 units,Graded,TBD,CPE/CSC 321 and graduate standing
Languages and Translators,CSC 530,4 units,Graded,SP,"CSC 430 and graduate standing, or consent of instructor"
Theory of Computation II,CSC 540,4 units,Graded,W,"CSC 445 and graduate standing, or consent of instructor"
Operating Systems,CSC 550,4 units,Graded,TBD,"CSC/CPE 453 and graduate standing, or consent of instructor"
Database Systems,CSC 560,4 units,Graded,TBD,"CSC 365 and graduate standing, or consent of instructor"
Computer Networks: Research Topics,CSC 564,4 units,Graded,W,"CSC/CPE 464 and graduate standing, or consent of instructor"
Topics in Advanced Data Mining,CSC 566,4 units,Graded,SP,CSC 466 or CSC 480 or CSC 582
Distributed Computing,CSC 569,4 units,Graded,TBD,CSC 141 or CSC 348; and CPE/CSC 357; or graduate standing and consent of instructor
Current Topics in Computer Science,CSC 570,2-4 units,Graded,"F, W",Graduate standing and evidence of satisfactory preparation in computer science
Computer Graphics,CSC 572,4 units,Graded,F,"Successful completion of CSC/CPE 471 and graduate standing, or consent of instructor"
Artificial Intelligence,CSC 580,4 units,Graded,W,"CSC 480 and graduate standing, or consent of instructor"
Computer Support for Knowledge Management,CSC 581,4 units,Graded,TBD,CSC 480 or CSC 484 or consent of instructor
Computational Linguistics,CSC 582,4 units,Graded,TBD,CSC 482 and graduate standing
Thesis Seminar,CSC 590,1 unit,Graded,"F, W, SP",Graduate standing or consent of instructor
Cooperative Education Experience,CSC 593,2 units,CR/NC,"F, W, SP",Graduate standing and consent of instructor
Cooperative Education Experience,CSC 594,6 units,CR/NC,"F, W, SP",Graduate standing and consent of instructor
Cooperative Education Experience,CSC 595,12 units,CR/NC,"F, W, SP",Graduate standing and consent of instructor
Research in Computer Science I,CSC 596,2 units,Graded,"F, W, SP",Consent of instructor
Research in Computer Science II,CSC 597,2 units,Graded,"F, W, SP",CSC 596 and consent of instructor
Thesis,CSC 599,4 units,Graded,"F, W, SP",CSC 590; CSC 498 or CSC 597; selection of thesis committee; graduate standing; and consent of instructor
